date,split,S,K,T,r,sigma_used,log_moneyness,bs_price,mc_price,abs_error
2019-12-31 05:00:00,test,71.17213439941406,56.93770751953125,0.25,0.03,0.16293319446831425,0.22314355131420976,14.663400179661451,14.695222423403667,0.03182224374221576
2019-12-31 05:00:00,test,71.17213439941406,64.05492095947265,0.25,0.03,0.16293319446831425,0.10536051565782635,7.803216798507123,7.780474908738292,0.02274188976883096
2019-12-31 05:00:00,test,71.17213439941406,71.17213439941406,0.25,0.03,0.16293319446831425,0.0,2.5794968266674587,2.6041500838315734,0.024653257164114706
2019-12-31 05:00:00,test,71.17213439941406,78.28934783935547,0.25,0.03,0.16293319446831425,-0.0953101798043249,0.4340066990143434,0.4392462170129051,0.005239517998561705
2019-12-31 05:00:00,test,71.17213439941406,85.40656127929687,0.25,0.03,0.16293319446831425,-0.1823215567939546,0.03599849354608864,0.035034994409776976,0.000963499136311663
2019-12-31 05:00:00,test,71.17213439941406,56.93770751953125,0.5,0.03,0.16293319446831425,0.22314355131420976,15.13360343118655,15.123160829857689,0.010442601328861656
2019-12-31 05:00:00,test,71.17213439941406,64.05492095947265,0.5,0.03,0.16293319446831425,0.10536051565782635,8.660596661262339,8.700969178509787,0.04037251724744806
2019-12-31 05:00:00,test,71.17213439941406,71.17213439941406,0.5,0.03,0.16293319446831425,0.0,3.8023520768019097,3.746866123508219,0.05548595329369066
2019-12-31 05:00:00,test,71.17213439941406,78.28934783935547,0.5,0.03,0.16293319446831425,-0.0953101798043249,1.2245053366039969,1.2039320665929245,0.020573270011072342
2019-12-31 05:00:00,test,71.17213439941406,85.40656127929687,0.5,0.03,0.16293319446831425,-0.1823215567939546,0.29068825164214296,0.2892738868206117,0.0014143648215312332
2019-12-31 05:00:00,test,71.17213439941406,56.93770751953125,1.0,0.03,0.16293319446831425,0.22314355131420976,16.18121815344287,16.22006505078978,0.038846897346910936
2019-12-31 05:00:00,test,71.17213439941406,64.05492095947265,1.0,0.03,0.16293319446831425,0.10536051565782635,10.24143831792292,10.328455526966588,0.08701720904366717
2019-12-31 05:00:00,test,71.17213439941406,71.17213439941406,1.0,0.03,0.16293319446831425,0.0,5.681363512254862,5.6169601915574425,0.06440332069741928
2019-12-31 05:00:00,test,71.17213439941406,78.28934783935547,1.0,0.03,0.16293319446831425,-0.0953101798043249,2.7530896117007906,2.796293496946383,0.04320388524559249
2019-12-31 05:00:00,test,71.17213439941406,85.40656127929687,1.0,0.03,0.16293319446831425,-0.1823215567939546,1.176052513723132,1.1701154925013468,0.005937021221785077
2019-12-31 05:00:00,test,71.17213439941406,56.93770751953125,2.0,0.03,0.16293319446831425,0.22314355131420976,18.299399144252575,18.38144549933769,0.08204635508511515
2019-12-31 05:00:00,test,71.17213439941406,64.05492095947265,2.0,0.03,0.16293319446831425,0.10536051565782635,12.933098775556552,13.188358172207321,0.2552593966507697
