feature,variance,near_zero_variance
ewma_vol_ann,0.03833259151984229,False
log_return,0.0009987507451735978,False
ma_20_ratio,0.005994193652018504,False
ma_60_ratio,0.02060726175697043,False
month,11.64308325350181,False
ret_20d,0.020820843334155573,False
ret_5d,0.004957691764555656,False
rv_20d_ann,0.04691541332968402,False
rv_5d_ann,0.07610293098917251,False
rv_60d_ann,0.03336213875414265,False
